run,env,task,d,epoch,eval_seed,planner,num_eval,success_rate,group,train_seed,source
sigreg_clsrecon_w0p3_patch_ogb_lambd0p09_116987,cube,cube,25,3,2027,cem,50,72.0,,,pool:heldout
sigreg_clsrecon_w0p3_patch_ogb_lambd0p09_116987,cube,cube,25,3,8191,cem,50,74.0,,,pool:heldout
sigreg_clsrecon_w0p3_patch_ogb_lambd0p09_116987,cube,cube,25,4,2027,cem,50,70.0,,,pool:heldout
sigreg_clsrecon_w0p3_patch_ogb_lambd0p09_116987,cube,cube,25,4,8191,cem,50,76.0,,,pool:heldout
sigreg_clsrecon_w0p3_patch_ogb_lambd0p09_116987,cube,cube,25,9,2027,cem,50,76.0,,,pool:heldout
sigreg_clsrecon_w0p3_patch_ogb_lambd0p09_116987,cube,cube,25,9,8191,cem,50,74.0,,,pool:heldout
visreg_ogb_lambd4p5_102702,cube,cube,25,3,2027,cem,50,74.0,,,pool:heldout
visreg_ogb_lambd4p5_102702,cube,cube,25,3,8191,cem,50,74.0,,,pool:heldout
visreg_ogb_lambd4p5_102702,cube,cube,25,4,2027,cem,50,74.0,,,pool:heldout
visreg_ogb_lambd4p5_102702,cube,cube,25,4,8191,cem,50,76.0,,,pool:heldout
visreg_ogb_lambd4p5_lr1e-4_103030,cube,cube,25,10,2027,cem,50,70.0,,,pool:heldout
visreg_ogb_lambd4p5_lr1e-4_103030,cube,cube,25,10,8191,cem,50,76.0,,,pool:heldout
visreg_ogb_lambd4p5_lr1e-4_seed403_151589,cube,cube,25,4,2027,cem,50,74.0,,,pool:heldout
visreg_ogb_lambd4p5_lr1e-4_seed403_151589,cube,cube,25,4,8191,cem,50,80.0,,,pool:heldout
visreg_ogb_lambd4p5_lr1e-4_seed403_151589,cube,cube,25,5,2027,cem,50,72.0,,,pool:heldout
visreg_ogb_lambd4p5_lr1e-4_seed403_151589,cube,cube,25,5,8191,cem,50,78.0,,,pool:heldout
visreg_ogb_lambd4p5_lr1e-4_seed46_151591,cube,cube,25,8,2027,cem,50,74.0,,,pool:heldout
visreg_ogb_lambd4p5_lr1e-4_seed46_151591,cube,cube,25,8,8191,cem,50,74.0,,,pool:heldout
visreg_ogb_lambd4p5_lr1e-4_seed729_150690,cube,cube,25,7,2027,cem,50,72.0,,,pool:heldout
visreg_ogb_lambd4p5_lr1e-4_seed729_150690,cube,cube,25,7,8191,cem,50,74.0,,,pool:heldout
visreg_ogb_lambd4p5_lr1e-4_seed729_150690,cube,cube,25,9,2027,cem,50,72.0,,,pool:heldout
visreg_ogb_lambd4p5_lr1e-4_seed729_150690,cube,cube,25,9,8191,cem,50,74.0,,,pool:heldout
dinocls_reacher_s0,dmc,dmc,25,0,1025,cem,50,82.0,,,pool:heldout-method
dinocls_reacher_s0,dmc,dmc,25,0,2027,cem,50,72.0,,,pool:heldout-method
dinocls_reacher_s0,dmc,dmc,25,0,3014,cem,50,70.0,,,pool:heldout-method
dinocls_reacher_s0,dmc,dmc,25,0,42,cem,50,64.0,,,pool:heldout-method
dinocls_reacher_s0,dmc,dmc,25,0,5501,cem,50,76.0,,,pool:heldout-method
dinocls_reacher_s0,dmc,dmc,25,0,60601,cem,50,66.0,,,pool:heldout-method
dinocls_reacher_s0,dmc,dmc,25,0,65537,cem,50,64.0,,,pool:heldout-method
dinocls_reacher_s0,dmc,dmc,25,0,8191,cem,50,80.0,,,pool:heldout-method
dinocls_reacher_s0,dmc,dmc,25,0,90210,cem,50,72.0,,,pool:heldout-method
ext_intact_full_reacher_s0,dmc,dmc,25,0,1025,cem,50,72.0,,,pool:heldout-method
ext_intact_full_reacher_s0,dmc,dmc,25,0,2027,cem,50,78.0,,,pool:heldout-method
ext_intact_full_reacher_s0,dmc,dmc,25,0,3014,cem,50,88.0,,,pool:heldout-method
