run,env,task,d,eval_seed,planner,num_eval,success_rate
ext_intact_full_tworoom_s0,tworoom,tworoom,25,2027,cem,50,42.0
ext_intact_full_tworoom_s0,tworoom,tworoom,25,3014,cem,50,48.0
ext_intact_full_tworoom_s0,tworoom,tworoom,25,5501,cem,50,56.00000000000001
ext_intact_full_tworoom_s0,tworoom,tworoom,25,8191,cem,50,56.00000000000001
ext_intact_full_tworoom_s0,tworoom,tworoom,25,60601,cem,50,60.0
ext_intact_full_tworoom_s0,tworoom,tworoom,25,65537,cem,50,60.0
ext_intact_full_tworoom_s0,tworoom,tworoom,25,90210,cem,50,46.0
ext_intact_full_tworoom_s3072,tworoom,tworoom,25,42,cem,50,44.0
ext_intact_full_tworoom_s3072,tworoom,tworoom,25,1025,cem,50,50.0
ext_intact_full_tworoom_s3072,tworoom,tworoom,25,2027,cem,50,48.0
ext_intact_full_tworoom_s3072,tworoom,tworoom,25,3014,cem,50,42.0
ext_intact_full_tworoom_s3072,tworoom,tworoom,25,5501,cem,50,52.0
ext_intact_full_tworoom_s3072,tworoom,tworoom,25,8191,cem,50,46.0
ext_intact_full_tworoom_s3072,tworoom,tworoom,25,60601,cem,50,48.0
ext_intact_full_tworoom_s3072,tworoom,tworoom,25,65537,cem,50,52.0
ext_intact_full_tworoom_s3072,tworoom,tworoom,25,90210,cem,50,48.0
ext_intact_full_tworoom_s42,tworoom,tworoom,25,42,cem,50,52.0
ext_intact_full_tworoom_s42,tworoom,tworoom,25,1025,cem,50,50.0
ext_intact_full_tworoom_s42,tworoom,tworoom,25,2027,cem,50,44.0
ext_intact_full_tworoom_s42,tworoom,tworoom,25,3014,cem,50,46.0
ext_intact_full_tworoom_s42,tworoom,tworoom,25,5501,cem,50,52.0
ext_intact_full_tworoom_s42,tworoom,tworoom,25,8191,cem,50,57.99999999999999
ext_intact_full_tworoom_s42,tworoom,tworoom,25,60601,cem,50,64.0
ext_intact_full_tworoom_s42,tworoom,tworoom,25,65537,cem,50,64.0
ext_intact_full_tworoom_s42,tworoom,tworoom,25,90210,cem,50,56.00000000000001
ext_qantara_cube_s11,cube,cube,25,42,cem,50,96.0
ext_qantara_cube_s11,cube,cube,25,1025,cem,50,80.0
ext_qantara_cube_s11,cube,cube,25,3014,cem,50,94.0
ext_qantara_cube_s22,cube,cube,25,42,cem,50,92.0
ext_qantara_cube_s22,cube,cube,25,1025,cem,50,80.0
ext_qantara_cube_s22,cube,cube,25,3014,cem,50,90.0
ext_qantara_cube_s33,cube,cube,25,42,cem,50,94.0
ext_qantara_cube_s33,cube,cube,25,1025,cem,50,82.0
ext_qantara_cube_s33,cube,cube,25,3014,cem,50,96.0
ext_qantara_pusht_s11,pusht,pusht,25,42,cem,50,98.0
ext_qantara_pusht_s11,pusht,pusht,25,1025,cem,50,84.0
ext_qantara_pusht_s11,pusht,pusht,25,2027,cem,50,94.0
ext_qantara_pusht_s11,pusht,pusht,25,3014,cem,50,90.0
ext_qantara_pusht_s11,pusht,pusht,25,5501,cem,50,88.0
ext_qantara_pusht_s11,pusht,pusht,25,8191,cem,50,88.0
ext_qantara_pusht_s11,pusht,pusht,25,60601,cem,50,92.0
ext_qantara_pusht_s11,pusht,pusht,25,65537,cem,50,86.0
ext_qantara_pusht_s11,pusht,pusht,25,90210,cem,50,88.0
ext_qantara_pusht_s22,pusht,pusht,25,42,cem,50,94.0
ext_qantara_pusht_s22,pusht,pusht,25,1025,cem,50,92.0
ext_qantara_pusht_s22,pusht,pusht,25,2027,cem,50,96.0
ext_qantara_pusht_s22,pusht,pusht,25,3014,cem,50,94.0
ext_qantara_pusht_s22,pusht,pusht,25,5501,cem,50,84.0
ext_qantara_pusht_s22,pusht,pusht,25,8191,cem,50,84.0
ext_qantara_pusht_s22,pusht,pusht,25,60601,cem,50,98.0
ext_qantara_pusht_s22,pusht,pusht,25,65537,cem,50,84.0
ext_qantara_pusht_s22,pusht,pusht,25,90210,cem,50,90.0
ext_qantara_pusht_s33,pusht,pusht,25,42,cem,50,94.0
ext_qantara_pusht_s33,pusht,pusht,25,1025,cem,50,92.0
ext_qantara_pusht_s33,pusht,pusht,25,2027,cem,50,90.0
ext_qantara_pusht_s33,pusht,pusht,25,3014,cem,50,84.0
ext_qantara_pusht_s33,pusht,pusht,25,5501,cem,50,82.0
ext_qantara_pusht_s33,pusht,pusht,25,8191,cem,50,88.0
ext_qantara_pusht_s33,pusht,pusht,25,60601,cem,50,94.0
ext_qantara_pusht_s33,pusht,pusht,25,65537,cem,50,88.0
ext_qantara_pusht_s33,pusht,pusht,25,90210,cem,50,92.0
ext_qantara_reacher_s11,dmc,dmc,25,42,cem,50,76.0
ext_qantara_reacher_s11,dmc,dmc,25,1025,cem,50,76.0
ext_qantara_reacher_s11,dmc,dmc,25,2027,cem,50,86.0
ext_qantara_reacher_s11,dmc,dmc,25,3014,cem,50,80.0
ext_qantara_reacher_s11,dmc,dmc,25,5501,cem,50,82.0
ext_qantara_reacher_s11,dmc,dmc,25,8191,cem,50,86.0
ext_qantara_reacher_s11,dmc,dmc,25,60601,cem,50,76.0
ext_qantara_reacher_s11,dmc,dmc,25,65537,cem,50,80.0
ext_qantara_reacher_s11,dmc,dmc,25,90210,cem,50,86.0
ext_qantara_reacher_s22,dmc,dmc,25,42,cem,50,72.0
ext_qantara_reacher_s22,dmc,dmc,25,1025,cem,50,78.0
ext_qantara_reacher_s22,dmc,dmc,25,2027,cem,50,80.0
ext_qantara_reacher_s22,dmc,dmc,25,3014,cem,50,90.0
ext_qantara_reacher_s22,dmc,dmc,25,5501,cem,50,76.0
ext_qantara_reacher_s22,dmc,dmc,25,8191,cem,50,86.0
ext_qantara_reacher_s22,dmc,dmc,25,60601,cem,50,78.0
ext_qantara_reacher_s22,dmc,dmc,25,65537,cem,50,76.0
ext_qantara_reacher_s22,dmc,dmc,25,90210,cem,50,90.0
ext_qantara_reacher_s33,dmc,dmc,25,42,cem,50,72.0
ext_qantara_reacher_s33,dmc,dmc,25,1025,cem,50,80.0
ext_qantara_reacher_s33,dmc,dmc,25,2027,cem,50,78.0
ext_qantara_reacher_s33,dmc,dmc,25,3014,cem,50,88.0
ext_qantara_reacher_s33,dmc,dmc,25,5501,cem,50,80.0
ext_qantara_reacher_s33,dmc,dmc,25,8191,cem,50,88.0
ext_qantara_reacher_s33,dmc,dmc,25,60601,cem,50,76.0
ext_qantara_reacher_s33,dmc,dmc,25,65537,cem,50,78.0
ext_qantara_reacher_s33,dmc,dmc,25,90210,cem,50,84.0
ext_qantara_tworoom_s11,tworoom,tworoom,25,42,cem,50,100.0
ext_qantara_tworoom_s11,tworoom,tworoom,25,1025,cem,50,100.0
ext_qantara_tworoom_s11,tworoom,tworoom,25,2027,cem,50,98.0
ext_qantara_tworoom_s11,tworoom,tworoom,25,3014,cem,50,100.0
ext_qantara_tworoom_s11,tworoom,tworoom,25,5501,cem,50,100.0
ext_qantara_tworoom_s11,tworoom,tworoom,25,8191,cem,50,98.0
ext_qantara_tworoom_s11,tworoom,tworoom,25,60601,cem,50,100.0
ext_qantara_tworoom_s11,tworoom,tworoom,25,65537,cem,50,100.0
ext_qantara_tworoom_s11,tworoom,tworoom,25,90210,cem,50,100.0
ext_qantara_tworoom_s22,tworoom,tworoom,25,42,cem,50,100.0
ext_qantara_tworoom_s22,tworoom,tworoom,25,1025,cem,50,100.0
ext_qantara_tworoom_s22,tworoom,tworoom,25,2027,cem,50,98.0
ext_qantara_tworoom_s22,tworoom,tworoom,25,3014,cem,50,100.0
ext_qantara_tworoom_s22,tworoom,tworoom,25,5501,cem,50,100.0
ext_qantara_tworoom_s22,tworoom,tworoom,25,8191,cem,50,100.0
ext_qantara_tworoom_s22,tworoom,tworoom,25,60601,cem,50,100.0
ext_qantara_tworoom_s22,tworoom,tworoom,25,65537,cem,50,100.0
ext_qantara_tworoom_s22,tworoom,tworoom,25,90210,cem,50,100.0
ext_qantara_tworoom_s33,tworoom,tworoom,25,42,cem,50,100.0
ext_qantara_tworoom_s33,tworoom,tworoom,25,1025,cem,50,100.0
ext_qantara_tworoom_s33,tworoom,tworoom,25,2027,cem,50,98.0
ext_qantara_tworoom_s33,tworoom,tworoom,25,3014,cem,50,100.0
ext_qantara_tworoom_s33,tworoom,tworoom,25,5501,cem,50,100.0
ext_qantara_tworoom_s33,tworoom,tworoom,25,8191,cem,50,98.0
ext_qantara_tworoom_s33,tworoom,tworoom,25,60601,cem,50,100.0
ext_qantara_tworoom_s33,tworoom,tworoom,25,65537,cem,50,100.0
ext_qantara_tworoom_s33,tworoom,tworoom,25,90210,cem,50,100.0
ext_rcaux_cube,cube,cube,25,42,cem,50,78.0
ext_rcaux_cube,cube,cube,25,1025,cem,50,70.0
ext_rcaux_cube,cube,cube,25,3014,cem,50,76.0
ext_rcaux_reacher,dmc,dmc,25,42,cem,50,82.0
ext_rcaux_reacher,dmc,dmc,25,1025,cem,50,84.0
ext_rcaux_reacher,dmc,dmc,25,2027,cem,50,80.0
ext_rcaux_reacher,dmc,dmc,25,3014,cem,50,80.0
ext_rcaux_reacher,dmc,dmc,25,5501,cem,50,76.0
ext_rcaux_reacher,dmc,dmc,25,8191,cem,50,88.0
ext_rcaux_reacher,dmc,dmc,25,60601,cem,50,82.0
ext_rcaux_reacher,dmc,dmc,25,65537,cem,50,78.0
ext_rcaux_reacher,dmc,dmc,25,90210,cem,50,88.0
ext_rcaux_tworoom,tworoom,tworoom,25,42,cem,50,94.0
ext_rcaux_tworoom,tworoom,tworoom,25,1025,cem,50,92.0
ext_rcaux_tworoom,tworoom,tworoom,25,2027,cem,50,94.0
ext_rcaux_tworoom,tworoom,tworoom,25,3014,cem,50,94.0
ext_rcaux_tworoom,tworoom,tworoom,25,5501,cem,50,92.0
ext_rcaux_tworoom,tworoom,tworoom,25,8191,cem,50,92.0
ext_rcaux_tworoom,tworoom,tworoom,25,60601,cem,50,94.0
ext_rcaux_tworoom,tworoom,tworoom,25,65537,cem,50,94.0
ext_rcaux_tworoom,tworoom,tworoom,25,90210,cem,50,96.0
